,accuracy,precision,recall,f1,elapsed_time,top_5_accuracy,top_10_accuracy,top_20_accuracy
bert-base-uncased,0.062438057482656094,0.062438057482656094,0.062438057482656094,0.062438057482656094,4.388187885284424,0.10307234886025768,0.21506442021803765,0.3924677898909812
bert-large-uncased,0.06541129831516353,0.06541129831516353,0.06541129831516353,0.06541129831516353,6.185360908508301,0.12388503468780972,0.2259663032705649,0.39345887016848363
distilbert-base-uncased,0.06937561942517344,0.06937561942517344,0.06937561942517344,0.06937561942517344,3.541900873184204,0.10505450941526263,0.18434093161546086,0.3211100099108028
roberta-base,0.024630541871921183,0.024630541871921183,0.024630541871921183,0.024630541871921183,4.231464862823486,0.03152709359605911,0.06206896551724138,0.10246305418719212
roberta-large,0.03842364532019704,0.03842364532019704,0.03842364532019704,0.03842364532019704,5.9189136028289795,0.052216748768472904,0.07586206896551724,0.11428571428571428
albert-base-v2,0.001936108422071636,0.001936108422071636,0.001936108422071636,0.001936108422071636,3.129000186920166,0.001936108422071636,0.006776379477250726,0.013552758954501452
facebook/bart-base,0.026600985221674877,0.026600985221674877,0.026600985221674877,0.026600985221674877,4.609280347824097,0.0374384236453202,0.06305418719211822,0.1103448275862069
""
,accuracy,precision,recall,f1,elapsed_time,top_5_accuracy,top_10_accuracy,top_20_accuracy
bert-base-uncased,0.05805243445692884,0.05805243445692884,0.05805243445692884,0.05805243445692884,10.893626689910889,0.10486891385767791,0.17696629213483145,0.36142322097378277
bert-large-uncased,0.06928838951310862,0.06928838951310862,0.06928838951310862,0.06928838951310862,39.0028977394104,0.11235955056179775,0.22284644194756553,0.41198501872659177
distilbert-base-uncased,0.056179775280898875,0.056179775280898875,0.056179775280898875,0.056179775280898875,7.010334253311157,0.09363295880149813,0.18164794007490637,0.3202247191011236
roberta-base,0.026192703461178673,0.026192703461178673,0.026192703461178673,0.026192703461178673,21.87543773651123,0.03835360149672591,0.06548175865294668,0.13376987839101964
roberta-large,0.031805425631431246,0.031805425631431246,0.031805425631431246,0.031805425631431246,38.3861608505249,0.03554724041159962,0.05519176800748363,0.10757717492984098
albert-base-v2,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,10.185995817184448,0.0036429872495446266,0.004553734061930784,0.006375227686703097
facebook/bart-base,0.02245088868101029,0.02245088868101029,0.02245088868101029,0.02245088868101029,13.334162950515747,0.031805425631431246,0.05612722170252572,0.11506080449017773
